10.143.212.234 - - [18/Feb/2018:17:42:35 -0800] "GET /js/image-test.js HTTP/1.1" 200 678
10.143.212.234 - - [18/Feb/2018:17:42:35 -0800] "GET /images/sushi.jpg HTTP/1.1" 200 40183
10.143.212.234 - - [18/Feb/2018:17:56:41 -0800] "GET / HTTP/1.1" 403 -
10.143.212.234 - - [18/Feb/2018:17:56:54 -0800] "GET / HTTP/1.1" 403 -
10.143.212.234 - - [18/Feb/2018:17:57:00 -0800] "GET / HTTP/1.1" 403 -
10.143.212.234 - - [18/Feb/2018:17:58:16 -0800] "GET / HTTP/1.1" 401 -
10.143.212.234 - - [18/Feb/2018:17:58:35 -0800] "GET /favicon.ico HTTP/1.1" 401 -
10.143.212.234 - - [18/Feb/2018:17:58:55 -0800] "GET / HTTP/1.1" 401 -
10.143.212.234 - - [18/Feb/2018:17:58:55 -0800] "GET / HTTP/1.1" 401 -
10.143.212.234 - - [18/Feb/2018:17:59:10 -0800] "GET / HTTP/1.1" 403 -
10.143.212.234 - - [18/Feb/2018:17:59:42 -0800] "GET / HTTP/1.1" 401 -
10.143.212.234 - - [18/Feb/2018:17:59:43 -0800] "GET / HTTP/1.1" 401 -
10.143.212.234 - - [18/Feb/2018:17:59:46 -0800] "GET / HTTP/1.1" 200 3143
10.143.212.234 - - [18/Feb/2018:17:59:46 -0800] "GET /js/image-test.js HTTP/1.1" 200 678
10.143.212.234 - - [18/Feb/2018:17:59:46 -0800] "GET /images/sushi.jpg HTTP/1.1" 200 40183
10.143.212.234 - - [18/Feb/2018:17:59:46 -0800] "GET /favicon.ico HTTP/1.1" 404 -
10.143.212.234 - - [18/Feb/2018:17:59:53 -0800] "GET /test/1.json HTTP/1.1" 200 13
10.143.212.234 - - [18/Feb/2018:17:59:53 -0800] "GET /test/2.json HTTP/1.1" 200 13
10.143.212.234 - - [18/Feb/2018:17:59:53 -0800] "GET /test/3.json HTTP/1.1" 200 13
10.143.212.234 - - [18/Feb/2018:17:59:53 -0800] "GET /test/4.json HTTP/1.1" 200 13
10.143.212.234 - - [18/Feb/2018:17:59:53 -0800] "GET /test/5.json HTTP/1.1" 200 13
10.143.212.234 - - [18/Feb/2018:17:59:53 -0800] "GET /test/6.json HTTP/1.1" 200 13
10.143.212.234 - - [18/Feb/2018:17:59:53 -0800] "GET /test/7.json HTTP/1.1" 200 13
10.143.212.234 - - [18/Feb/2018:17:59:53 -0800] "GET /test/8.json HTTP/1.1" 200 13
10.143.212.234 - - [18/Feb/2018:17:59:53 -0800] "GET /test/9.json HTTP/1.1" 200 13
10.143.212.234 - - [18/Feb/2018:17:59:53 -0800] "GET /test/10.json HTTP/1.1" 200 14
10.143.212.234 - - [18/Feb/2018:17:59:53 -0800] "GET /images/really-big-image.png HTTP/1.1" 200 7311210
10.143.212.234 - - [18/Feb/2018:18:00:04 -0800] "GET /protected/ HTTP/1.1" 404 -
10.143.212.234 - - [18/Feb/2018:18:00:08 -0800] "GET /cgi-bin/perl_env HTTP/1.1" 200 -
10.143.212.234 - - [18/Feb/2018:18:14:25 -0800] "GET / HTTP/1.1" 401 -
10.143.212.234 - - [18/Feb/2018:18:14:27 -0800] "GET / HTTP/1.1" 401 -
10.143.212.234 - - [18/Feb/2018:18:14:44 -0800] "GET / HTTP/1.1" 403 -
10.143.212.234 - - [18/Feb/2018:18:15:04 -0800] "GET / HTTP/1.1" 403 -
